nome_produto,preco_produto,quantidade_vendida,nome_vendedor,status_vendedor,reputacao_cor,reviews_nota_media,reviews_quantidade_total,reviews_5_estrelas_pct,reviews_4_estrelas_pct,reviews_3_estrelas_pct,reviews_2_estrelas_pct,reviews_1_estrelas_pct,url_produto
Cartucho de tinta preto e tricolor HP 664 de 2 ml 2 unidades,"179,78",0,informticaponto,MercadoLíder,Verde,4.7,4,86.47,7.33,2.24,0.81,3.15,https://www.mercadolivre.com.br/cartucho-de-tinta-preto-e-tricolor-hp-664-de-2-ml-2-unidades/p/MLB36769417?pdp_filters=item_id:MLB3891187225#is_advertising=true&searchVariation=MLB36769417&backend_model=search-backend&position=3&search_layout=grid&type=pad&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&ad_domain=VQCATCORE_LST&ad_position=3&ad_click_id=ZjdkOGMyN2QtMjUyZC00MGYxLTkyMDUtYjQxYWEyZGVhODQy
Kit Cartuchos Tinta Original Hp 954xl 7740 8710 - 04 Cores,"1499,90",50,Tec Print,+100mil vendas,Verde,4.6,19,78.95,15.79,0.0,0.0,5.26,https://produto.mercadolivre.com.br/MLB-2642010384-kit-cartuchos-tinta-original-hp-954xl-7740-8710-04-cores-_JM#is_advertising=true&backend_model=search-backend&position=19&search_layout=grid&type=pad&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&ad_domain=VQCATCORE_LST&ad_position=19&ad_click_id=NjdmNDBhZjctMjcyZC00YTY3LTllOGYtODE1MDUwYjZjZTFi
Cartuchos Hp 21 E 22 Para Deskjet F4180 D2360 J3680 D2460,"189,21",25,clca,MercadoLíder,Verde,5.0,2,100.0,0.0,0.0,0.0,0.0,https://produto.mercadolivre.com.br/MLB-4487231388-cartuchos-hp-21-e-22-para-deskjet-f4180-d2360-j3680-d2460-_JM#is_advertising=true&backend_model=search-backend&position=10&search_layout=grid&type=pad&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&ad_domain=VQCATCORE_LST&ad_position=10&ad_click_id=MGZmYTRlZjctNmRhNy00ZDQxLTg1MTctNzRiZjQxMDM0ZmIy
Kit Cartuchos Tinta Original Hp 954xl 7740 8710 - 04 Cores,"1399,90",100,Tec Print,+100mil vendas,Verde,4.6,19,78.95,15.79,0.0,0.0,5.26,https://produto.mercadolivre.com.br/MLB-2641991276-kit-cartuchos-tinta-original-hp-954xl-7740-8710-04-cores-_JM#is_advertising=true&backend_model=search-backend&position=12&search_layout=grid&type=pad&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&ad_domain=VQCATCORE_LST&ad_position=12&ad_click_id=Zjk1NGU3ZmYtNzIyOS00MTI0LTk4YTItZjEyODU4ODYxMjlj
Kit 2 Cartuchos Hp 122xl Preto Original,"198,24",5,clca,MercadoLíder,Verde,0.0,0,,,,,,https://produto.mercadolivre.com.br/MLB-4487256364-kit-2-cartuchos-hp-122xl-preto-original-_JM#is_advertising=true&backend_model=search-backend&position=20&search_layout=grid&type=pad&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&ad_domain=VQCATCORE_LST&ad_position=20&ad_click_id=MDVkY2NmY2MtZWMxZC00ZTYwLWI4NTQtMjk4MDU1YTY3YmFj
Kit Cartucho Tinta Original Hp Officejet 938 9130 9730 9125,"1079,90",25,Tec Print,+100mil vendas,Verde,0.0,0,,,,,,https://produto.mercadolivre.com.br/MLB-3845344279-kit-cartucho-tinta-original-hp-officejet-938-9130-9730-9125-_JM#is_advertising=true&backend_model=search-backend&position=11&search_layout=grid&type=pad&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&ad_domain=VQCATCORE_LST&ad_position=11&ad_click_id=N2NkMjE5OGQtNDUwYy00OGE5LTkwNTMtMzZkOGE3MzFlNmQw
Kit 03 Cartucho Tinta Original Hp 964xl 964 Xl 9010 9020,"499,90",2,GOMESHAROLDO20230628152423,+100 vendas,Verde,0.0,0,,,,,,https://produto.mercadolivre.com.br/MLB-5538247282-kit-03-cartucho-tinta-original-hp-964xl-964-xl-9010-9020-_JM#is_advertising=true&backend_model=search-backend&position=21&search_layout=grid&type=pad&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&ad_domain=VQCATCORE_LST&ad_position=21&ad_click_id=ZDQxMjlkMzEtNjVjYy00NDNiLTllYjktMDllMTRmNWQ0YjNl
Cartucho HP 45A Preto 51645AL,"292,80",500,ATVENDASONLINE,+100 vendas,Verde,4.9,11,90.91,9.09,0.0,0.0,0.0,https://www.mercadolivre.com.br/cartucho-hp-45a-preto-51645al/p/MLB36750942?pdp_filters=item_id:MLB4028471665#is_advertising=true&searchVariation=MLB36750942&backend_model=search-backend&position=1&search_layout=grid&type=pad&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&ad_domain=VQCATCORE_LST&ad_position=1&ad_click_id=OTFhMWRhNjktZTc2Ni00NGYyLThiZGYtNTMyYTc3MjgwMjkz
Kit Cartucho De Tinta Hp 122 Preto + Colorido,"214,90",500,CASAPRINT SPEED,MercadoLíder,Verde,4.9,12,91.67,8.33,0.0,0.0,0.0,https://www.mercadolivre.com.br/kit-cartucho-de-tinta-hp-122-preto-colorido/p/MLB42247285?pdp_filters=item_id:MLB4131255505#is_advertising=true&searchVariation=MLB42247285&backend_model=search-backend&position=2&search_layout=grid&type=pad&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&ad_domain=VQCATCORE_LST&ad_position=2&ad_click_id=ODU4ODI2MTUtMGYyYy00MzYwLThhMWMtOTA5YjdhNTk2Mjdm
2 Cartuchos 664 Preto Black Impressora Hp Deskjet,"139,90",1000,OBERO INFORMATICA,MercadoLíder,Verde,4.7,4,86.47,7.33,2.24,0.81,3.15,https://www.mercadolivre.com.br/2-cartuchos-664-preto-black-impressora-hp-deskjet/p/MLB36779932#polycard_client=search-nordic&search_layout=grid&position=17&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB4678624598&sid=search
